L,T,N,absM,M2,M4,U4,chi,xi_eff,xi_over_L
8,2.15,8000,3.235001376129498,10.902189012243406,131.8138222963552,0.6303316366704343,27.965126955754386,9.2197737290753,1.1524717161344125
8,2.22,8000,3.002989746978077,9.563583014205982,104.92824304870453,0.6175894349527917,34.92067800003372,8.069081241594976,1.008635155199372
8,2.269185314213022,8000,2.8107610677829724,8.503164465584701,85.54767532980809,0.6056100863529894,38.57834786689449,7.173995045551218,0.8967493806939022
8,2.32,8000,2.6375722882875126,7.635676849269301,71.74232963001663,0.5898344888637328,43.44891349293289,6.4653657201899115,0.8081707150237389
8,2.4,8000,2.340115704369971,6.219672359079281,50.991171268394325,0.5606215846570535,47.585974351380116,5.421428708227985,0.6776785885284982
16,2.15,8000,3.1995545149664757,10.432281389317104,114.63833707395568,0.648884471227041,49.953867539134535,24.713164671269123,1.5445727919543202
16,2.22,8000,2.87442727964072,8.606024100467863,81.74554329672127,0.6320932855543318,87.98513011842851,18.451544812836175,1.153221550802261
16,2.269185314213022,8000,2.586471100945857,7.17673991112667,60.28560466985685,0.6098443040365211,124.64823170524073,14.402908188726565,0.9001817617954103
16,2.32,8000,2.2639283326913118,5.740082560763285,42.0467362930944,0.5746222611212577,157.3660326914105,11.22316348327073,0.7014477177044206
16,2.4,8000,1.7807374410492411,3.852927515626849,22.301324913347234,0.49924218844365253,174.5668305080959,8.124043836842795,0.5077527398026747
32,2.15,8000,3.1885061553972287,10.225878395513604,106.64823657496876,0.6600373731225166,60.730257927769344,76.73169839567154,2.3978655748647357
32,2.22,8000,2.7972300268363757,8.017250640620404,68.45406526553377,0.6450010505594034,197.38093320742155,45.623675941071824,1.4257398731584945
32,2.269185314213022,8000,2.382323685019038,6.06036698947498,42.65729834437978,0.6128544748720364,394.13846965482753,29.32026928722714,0.9162584152258482
32,2.32,8000,1.8080849399987964,3.845743986379579,20.820431014291874,0.5307462824642093,590.4105841962269,17.960773391427875,0.5612741684821211
32,2.4,8000,1.0864119759262472,1.6281306204070594,5.311564155731322,0.3320827062823184,458.5877903063929,9.935226144594873,0.3104758170185898
