model,section,scale,metric,value
D,A_marginal,4,kurt_excess,1.556195030994533
D,A_marginal,4,ks_to_N01,0.05547524642592627
D,A_marginal,5,skew,0.4150522980558569
D,A_marginal,5,kurt_excess,1.8134567033194342
D,A_marginal,5,ks_to_N01,0.06361563116955193
D,A_marginal,6,skew,0.40659743274389537
D,A_marginal,6,kurt_excess,0.7519751064081599
D,A_marginal,6,ks_to_N01,0.07860417067728931
D,B_cross_scale,1,mmd2_marginal,0.000911712646484375
D,B_cross_scale,1,w1_marginal,0.0630609189846061
D,B_cross_scale,1,ks_marginal,0.02675999999999995
D,B_cross_scale,2,mmd2_marginal,4.1604042053222656e-05
D,B_cross_scale,2,w1_marginal,0.023243889713180803
D,B_cross_scale,2,ks_marginal,0.009673749999999981
D,B_cross_scale,3,mmd2_marginal,0.00373077392578125
D,B_cross_scale,3,w1_marginal,0.10899879603970167
D,B_cross_scale,3,ks_marginal,0.05437500000000001
D,B_cross_scale,4,mmd2_marginal,-0.0002033710479736328
D,B_cross_scale,4,w1_marginal,0.02124805076900182
D,B_cross_scale,4,ks_marginal,0.01325
D,B_cross_scale,5,mmd2_marginal,-0.0009467601776123047
D,B_cross_scale,5,w1_marginal,0.03686018624182176
D,B_cross_scale,5,ks_marginal,0.019
D,C_Gr,1,G0,213.9727783203125
D,C_Gr,1,xi_s,232.668129043119
D,C_Gr,2,G0,740.887939453125
D,C_Gr,2,xi_s,22.622760480719755
D,C_Gr,3,G0,411.8449401855469
D,C_Gr,3,xi_s,11.183189990219567
D,C_Gr,4,G0,741.09814453125
D,C_Gr,4,xi_s,nan
D,C_Gr,5,G0,783.4638671875
D,C_Gr,5,xi_s,nan
D,D_fwd_inv,1,mmd2_marginal,0.0003790855407714844
D,D_fwd_inv,2,mmd2_marginal,0.00023663043975830078
D,D_fwd_inv,3,mmd2_marginal,0.0015482902526855469
D,D_fwd_inv,4,mmd2_marginal,0.00463557243347168
D,D_fwd_inv,5,mmd2_marginal,0.005380153656005859
champion_vs_A,E_cross_model,1,mmd2_vec,-0.0008006095886230469
champion_vs_A,E_cross_model,1,w1_marginal,0.05028908572976769
champion_vs_A,E_cross_model,1,rank_corr_sum,-0.2952453409813639
champion_vs_A,E_cross_model,2,mmd2_vec,-0.0009405612945556641
champion_vs_A,E_cross_model,2,w1_marginal,0.12992652531450588
champion_vs_A,E_cross_model,2,rank_corr_sum,-0.6013734774939099
champion_vs_A,E_cross_model,3,mmd2_vec,0.001950383186340332
champion_vs_A,E_cross_model,3,w1_marginal,0.11939031902990999
champion_vs_A,E_cross_model,3,rank_corr_sum,-0.6060100080400322
champion_vs_A,E_cross_model,4,mmd2_vec,0.0004061460494995117
champion_vs_A,E_cross_model,4,w1_marginal,0.12390188922004419
champion_vs_A,E_cross_model,4,rank_corr_sum,-0.31598055992223967
champion_vs_A,E_cross_model,5,mmd2_vec,0.001385807991027832
champion_vs_A,E_cross_model,5,w1_marginal,0.14499375227933686
champion_vs_A,E_cross_model,5,rank_corr_sum,-0.21902679610718442
champion_vs_A,E_cross_model,6,mmd2_vec,0.006786704063415527
champion_vs_A,E_cross_model,6,w1_marginal,0.1584933702466078
champion_vs_A,E_cross_model,6,rank_corr_sum,-0.11663950655802624
champion_vs_D,E_cross_model,1,mmd2_vec,-0.000664830207824707
champion_vs_D,E_cross_model,1,w1_marginal,0.040454993287367735
champion_vs_D,E_cross_model,1,rank_corr_sum,0.878436633746535
champion_vs_D,E_cross_model,2,mmd2_vec,-0.0008602142333984375
champion_vs_D,E_cross_model,2,w1_marginal,0.09278920498155732
champion_vs_D,E_cross_model,2,rank_corr_sum,0.31124294097176386
champion_vs_D,E_cross_model,3,mmd2_vec,-0.0009374618530273438
champion_vs_D,E_cross_model,3,w1_marginal,0.0792992236934859
champion_vs_D,E_cross_model,3,rank_corr_sum,0.11876514706058824
champion_vs_D,E_cross_model,4,mmd2_vec,-0.0009675025939941406
champion_vs_D,E_cross_model,4,w1_marginal,0.13221907227745186
champion_vs_D,E_cross_model,4,rank_corr_sum,0.00862813051252205
champion_vs_D,E_cross_model,5,mmd2_vec,0.00016367435455322266
champion_vs_D,E_cross_model,5,w1_marginal,0.1454554481998093
champion_vs_D,E_cross_model,5,rank_corr_sum,0.42438649754599017
champion_vs_D,E_cross_model,6,mmd2_vec,0.007779479026794434
champion_vs_D,E_cross_model,6,w1_marginal,0.16202447754261087
champion_vs_D,E_cross_model,6,rank_corr_sum,0.5667797391189565
A_vs_D,E_cross_model,1,mmd2_vec,-0.0008091926574707031
A_vs_D,E_cross_model,1,w1_marginal,0.021535087034112905
A_vs_D,E_cross_model,1,rank_corr_sum,-0.13042458569834278
A_vs_D,E_cross_model,2,mmd2_vec,-0.0008772611618041992
A_vs_D,E_cross_model,2,w1_marginal,0.07256803824943725
A_vs_D,E_cross_model,2,rank_corr_sum,0.17826570506282025
A_vs_D,E_cross_model,3,mmd2_vec,0.0018573999404907227
A_vs_D,E_cross_model,3,w1_marginal,0.0796100791929617
A_vs_D,E_cross_model,3,rank_corr_sum,0.2479640958563834
A_vs_D,E_cross_model,4,mmd2_vec,0.000560760498046875
A_vs_D,E_cross_model,4,w1_marginal,0.2064045488265857
A_vs_D,E_cross_model,4,rank_corr_sum,0.30702420409681636
A_vs_D,E_cross_model,5,mmd2_vec,0.0036281347274780273
A_vs_D,E_cross_model,5,w1_marginal,0.25297718354856613
A_vs_D,E_cross_model,5,rank_corr_sum,0.12822060888243553
A_vs_D,E_cross_model,6,mmd2_vec,0.026136279106140137
A_vs_D,E_cross_model,6,w1_marginal,0.24808176411478783
A_vs_D,E_cross_model,6,rank_corr_sum,0.1546633386533546
