model,t,section,scale,size,metric,value
meraFM_L32_ep1200,0.1,A_marginal,1,32,skew,-0.012291963966216903
meraFM_L32_ep1200,0.1,A_marginal,1,32,kurt,-1.6187047889838384
meraFM_L32_ep1200,0.1,A_marginal,1,32,ks,0.14143535823725661
meraFM_L32_ep1200,0.1,A_marginal,2,16,skew,-0.03679588677174069
meraFM_L32_ep1200,0.1,A_marginal,2,16,kurt,-1.1180823251631455
meraFM_L32_ep1200,0.1,A_marginal,2,16,ks,0.08608988935045292
meraFM_L32_ep1200,0.1,A_marginal,3,8,skew,-0.32558261317755594
meraFM_L32_ep1200,0.1,A_marginal,3,8,kurt,-0.7345111491856651
meraFM_L32_ep1200,0.1,A_marginal,3,8,ks,0.1001144911659152
meraFM_L32_ep1200,0.1,A_marginal,4,4,skew,-0.1384621912012102
meraFM_L32_ep1200,0.1,A_marginal,4,4,kurt,0.5323052627500915
meraFM_L32_ep1200,0.1,A_marginal,4,4,ks,0.013375980441222873
meraFM_L32_ep1200,0.1,A_marginal,5,2,skew,-0.021348025795707153
meraFM_L32_ep1200,0.1,A_marginal,5,2,kurt,0.4253936059733552
meraFM_L32_ep1200,0.1,A_marginal,5,2,ks,0.02093022276804557
meraFM_L32_ep1200,0.1,B_adjacent,1->2,32,mmd2,0.010968446731567383
meraFM_L32_ep1200,0.1,B_adjacent,1->2,32,w1,0.19977865111556734
meraFM_L32_ep1200,0.1,B_adjacent,2->3,16,mmd2,0.020322084426879883
meraFM_L32_ep1200,0.1,B_adjacent,2->3,16,w1,0.18547443002319342
meraFM_L32_ep1200,0.1,B_adjacent,3->4,8,mmd2,0.02329730987548828
meraFM_L32_ep1200,0.1,B_adjacent,3->4,8,w1,0.22027947694549216
meraFM_L32_ep1200,0.1,B_adjacent,4->5,4,mmd2,0.0023142099380493164
meraFM_L32_ep1200,0.1,B_adjacent,4->5,4,w1,0.07971805143804522
meraFM_L32_ep1200,0.3,A_marginal,1,32,skew,0.006270106346318674
meraFM_L32_ep1200,0.3,A_marginal,1,32,kurt,-1.6274004016964512
meraFM_L32_ep1200,0.3,A_marginal,1,32,ks,0.14570154697807458
meraFM_L32_ep1200,0.3,A_marginal,2,16,skew,-0.14855937938856098
meraFM_L32_ep1200,0.3,A_marginal,2,16,kurt,-1.223118456467547
meraFM_L32_ep1200,0.3,A_marginal,2,16,ks,0.11262385320833179
meraFM_L32_ep1200,0.3,A_marginal,3,8,skew,0.006915884069598286
meraFM_L32_ep1200,0.3,A_marginal,3,8,kurt,-0.21834777680094986
meraFM_L32_ep1200,0.3,A_marginal,3,8,ks,0.06644122804825037
meraFM_L32_ep1200,0.3,A_marginal,4,4,skew,-0.37362763590055703
meraFM_L32_ep1200,0.3,A_marginal,4,4,kurt,2.1946696662483403
meraFM_L32_ep1200,0.3,A_marginal,4,4,ks,0.026941002823832355
meraFM_L32_ep1200,0.3,A_marginal,5,2,skew,-0.07917882728692374
meraFM_L32_ep1200,0.3,A_marginal,5,2,kurt,0.9782720439053891
meraFM_L32_ep1200,0.3,A_marginal,5,2,ks,0.0244800135043729
meraFM_L32_ep1200,0.3,B_adjacent,1->2,32,mmd2,0.007009744644165039
meraFM_L32_ep1200,0.3,B_adjacent,1->2,32,w1,0.17608640382796575
meraFM_L32_ep1200,0.3,B_adjacent,2->3,16,mmd2,0.005332350730895996
meraFM_L32_ep1200,0.3,B_adjacent,2->3,16,w1,0.15428129689241038
meraFM_L32_ep1200,0.3,B_adjacent,3->4,8,mmd2,0.015755176544189453
meraFM_L32_ep1200,0.3,B_adjacent,3->4,8,w1,0.2005930077336016
meraFM_L32_ep1200,0.3,B_adjacent,4->5,4,mmd2,0.0019005537033081055
meraFM_L32_ep1200,0.3,B_adjacent,4->5,4,w1,0.09237632041520918
meraFM_L32_ep1200,0.5,A_marginal,1,32,skew,-0.010148290690932364
meraFM_L32_ep1200,0.5,A_marginal,1,32,kurt,-1.5906727220870525
meraFM_L32_ep1200,0.5,A_marginal,1,32,ks,0.14148088263161152
meraFM_L32_ep1200,0.5,A_marginal,2,16,skew,-0.1691347616494712
meraFM_L32_ep1200,0.5,A_marginal,2,16,kurt,-1.1140372459303498
meraFM_L32_ep1200,0.5,A_marginal,2,16,ks,0.10144078735516171
meraFM_L32_ep1200,0.5,A_marginal,3,8,skew,-0.1249073489599006
meraFM_L32_ep1200,0.5,A_marginal,3,8,kurt,-0.4007118133954486
meraFM_L32_ep1200,0.5,A_marginal,3,8,ks,0.05450657863445729
meraFM_L32_ep1200,0.5,A_marginal,4,4,skew,-0.06617729697231894
meraFM_L32_ep1200,0.5,A_marginal,4,4,kurt,0.5660401334962364
meraFM_L32_ep1200,0.5,A_marginal,4,4,ks,0.012679809554255683
meraFM_L32_ep1200,0.5,A_marginal,5,2,skew,-0.07638647843776593
meraFM_L32_ep1200,0.5,A_marginal,5,2,kurt,1.003842587165213
meraFM_L32_ep1200,0.5,A_marginal,5,2,ks,0.0196090379924998
meraFM_L32_ep1200,0.5,B_adjacent,1->2,32,mmd2,0.00915062427520752
meraFM_L32_ep1200,0.5,B_adjacent,1->2,32,w1,0.1719619133570046
meraFM_L32_ep1200,0.5,B_adjacent,2->3,16,mmd2,0.007311344146728516
meraFM_L32_ep1200,0.5,B_adjacent,2->3,16,w1,0.16056246206954705
meraFM_L32_ep1200,0.5,B_adjacent,3->4,8,mmd2,0.013176321983337402
meraFM_L32_ep1200,0.5,B_adjacent,3->4,8,w1,0.1938434739509721
meraFM_L32_ep1200,0.5,B_adjacent,4->5,4,mmd2,0.0021485090255737305
meraFM_L32_ep1200,0.5,B_adjacent,4->5,4,w1,0.09915401406152524
meraFM_L32_ep1200,0.7,A_marginal,1,32,skew,-0.012997379183198638
meraFM_L32_ep1200,0.7,A_marginal,1,32,kurt,-1.5292685971279394
meraFM_L32_ep1200,0.7,A_marginal,1,32,ks,0.13197219903735102
meraFM_L32_ep1200,0.7,A_marginal,2,16,skew,-0.16256344094215894
meraFM_L32_ep1200,0.7,A_marginal,2,16,kurt,-0.9791271882634067
meraFM_L32_ep1200,0.7,A_marginal,2,16,ks,0.08510072637890242
meraFM_L32_ep1200,0.7,A_marginal,3,8,skew,-0.10893260248641548
meraFM_L32_ep1200,0.7,A_marginal,3,8,kurt,-0.4230119100409988
meraFM_L32_ep1200,0.7,A_marginal,3,8,ks,0.050855355005863134
meraFM_L32_ep1200,0.7,A_marginal,4,4,skew,0.030077314056915456
meraFM_L32_ep1200,0.7,A_marginal,4,4,kurt,0.1909643929798892
meraFM_L32_ep1200,0.7,A_marginal,4,4,ks,0.008429175764368413
meraFM_L32_ep1200,0.7,A_marginal,5,2,skew,-0.13860947035664964
meraFM_L32_ep1200,0.7,A_marginal,5,2,kurt,0.6538070382949179
meraFM_L32_ep1200,0.7,A_marginal,5,2,ks,0.022069014899776696
meraFM_L32_ep1200,0.7,B_adjacent,1->2,32,mmd2,0.009411096572875977
meraFM_L32_ep1200,0.7,B_adjacent,1->2,32,w1,0.16837774981984438
meraFM_L32_ep1200,0.7,B_adjacent,2->3,16,mmd2,0.003921031951904297
meraFM_L32_ep1200,0.7,B_adjacent,2->3,16,w1,0.1568426843512077
meraFM_L32_ep1200,0.7,B_adjacent,3->4,8,mmd2,0.014414191246032715
meraFM_L32_ep1200,0.7,B_adjacent,3->4,8,w1,0.19265930404429768
meraFM_L32_ep1200,0.7,B_adjacent,4->5,4,mmd2,0.0017508268356323242
meraFM_L32_ep1200,0.7,B_adjacent,4->5,4,w1,0.09856513408399767
meraFM_L32_ep1200,0.9,A_marginal,1,32,skew,-0.038215381477728655
meraFM_L32_ep1200,0.9,A_marginal,1,32,kurt,-1.439631732429736
meraFM_L32_ep1200,0.9,A_marginal,1,32,ks,0.12280261491956834
meraFM_L32_ep1200,0.9,A_marginal,2,16,skew,0.2512020506074993
meraFM_L32_ep1200,0.9,A_marginal,2,16,kurt,-0.6677175432364746
meraFM_L32_ep1200,0.9,A_marginal,2,16,ks,0.06394457466621895
meraFM_L32_ep1200,0.9,A_marginal,3,8,skew,-0.12760312828432122
meraFM_L32_ep1200,0.9,A_marginal,3,8,kurt,0.58307903046467
meraFM_L32_ep1200,0.9,A_marginal,3,8,ks,0.01918837434907905
meraFM_L32_ep1200,0.9,A_marginal,4,4,skew,-0.011203785193371188
meraFM_L32_ep1200,0.9,A_marginal,4,4,kurt,-0.013937075654829378
meraFM_L32_ep1200,0.9,A_marginal,4,4,ks,0.010847034709208114
meraFM_L32_ep1200,0.9,A_marginal,5,2,skew,-0.006185990646739839
