model,t,section,scale,size,metric,value
meraFM_L32_ep1200,0.9,A_marginal,5,2,kurt,-0.3253550344122855
meraFM_L32_ep1200,0.9,A_marginal,5,2,ks,0.01681001406968155
meraFM_L32_ep1200,0.9,B_adjacent,1->2,32,mmd2,0.02998793125152588
meraFM_L32_ep1200,0.9,B_adjacent,1->2,32,w1,0.24478385087309606
meraFM_L32_ep1200,0.9,B_adjacent,2->3,16,mmd2,0.02426278591156006
meraFM_L32_ep1200,0.9,B_adjacent,2->3,16,w1,0.2335429566299169
meraFM_L32_ep1200,0.9,B_adjacent,3->4,8,mmd2,0.003159761428833008
meraFM_L32_ep1200,0.9,B_adjacent,3->4,8,w1,0.09205225968436934
meraFM_L32_ep1200,0.9,B_adjacent,4->5,4,mmd2,0.0046395063400268555
meraFM_L32_ep1200,0.9,B_adjacent,4->5,4,w1,0.13549927668976305
meraFM_L32_ep1200,1.0,A_marginal,1,32,skew,-0.05838913068815573
meraFM_L32_ep1200,1.0,A_marginal,1,32,kurt,-1.3322567211138214
meraFM_L32_ep1200,1.0,A_marginal,1,32,ks,0.11226815143544178
meraFM_L32_ep1200,1.0,A_marginal,2,16,skew,0.20089837516624304
meraFM_L32_ep1200,1.0,A_marginal,2,16,kurt,-0.6962629822789448
meraFM_L32_ep1200,1.0,A_marginal,2,16,ks,0.061033130457017803
meraFM_L32_ep1200,1.0,A_marginal,3,8,skew,-0.069157337880188
meraFM_L32_ep1200,1.0,A_marginal,3,8,kurt,-0.6000262057803956
meraFM_L32_ep1200,1.0,A_marginal,3,8,ks,0.03960012647388578
meraFM_L32_ep1200,1.0,A_marginal,4,4,skew,0.018490609618749855
meraFM_L32_ep1200,1.0,A_marginal,4,4,kurt,-0.1895106094503629
meraFM_L32_ep1200,1.0,A_marginal,4,4,ks,0.010222591785811475
meraFM_L32_ep1200,1.0,A_marginal,5,2,skew,-0.03737854516909027
meraFM_L32_ep1200,1.0,A_marginal,5,2,kurt,-0.4059946303327835
meraFM_L32_ep1200,1.0,A_marginal,5,2,ks,0.02296994836761801
meraFM_L32_ep1200,1.0,B_adjacent,1->2,32,mmd2,0.015170097351074219
meraFM_L32_ep1200,1.0,B_adjacent,1->2,32,w1,0.1905734017868854
meraFM_L32_ep1200,1.0,B_adjacent,2->3,16,mmd2,0.02263498306274414
meraFM_L32_ep1200,1.0,B_adjacent,2->3,16,w1,0.21911069174048803
meraFM_L32_ep1200,1.0,B_adjacent,3->4,8,mmd2,0.00465083122253418
meraFM_L32_ep1200,1.0,B_adjacent,3->4,8,w1,0.11820825974956689
meraFM_L32_ep1200,1.0,B_adjacent,4->5,4,mmd2,0.0013033151626586914
meraFM_L32_ep1200,1.0,B_adjacent,4->5,4,w1,0.09298846731161756
