model,t,section,scale,size,metric,value
meraFM_L64_h128_ep50,0.5,A_marginal,3,16,ks,0.08138401132236073
meraFM_L64_h128_ep50,0.5,A_marginal,4,8,skew,0.056759457605976775
meraFM_L64_h128_ep50,0.5,A_marginal,4,8,kurt,-1.0679766344267827
meraFM_L64_h128_ep50,0.5,A_marginal,4,8,ks,0.078237541884986
meraFM_L64_h128_ep50,0.5,A_marginal,5,4,skew,-0.04423520817804879
meraFM_L64_h128_ep50,0.5,A_marginal,5,4,kurt,-0.25203934112413995
meraFM_L64_h128_ep50,0.5,A_marginal,5,4,ks,0.017947711553644496
meraFM_L64_h128_ep50,0.5,A_marginal,6,2,skew,-0.025249907043408414
meraFM_L64_h128_ep50,0.5,A_marginal,6,2,kurt,-0.11682550201183917
meraFM_L64_h128_ep50,0.5,A_marginal,6,2,ks,0.0157735419419055
meraFM_L64_h128_ep50,0.5,B_adjacent,1->2,64,mmd2,0.003567337989807129
meraFM_L64_h128_ep50,0.5,B_adjacent,1->2,64,w1,0.11974867261981115
meraFM_L64_h128_ep50,0.5,B_adjacent,2->3,32,mmd2,0.0011339187622070312
meraFM_L64_h128_ep50,0.5,B_adjacent,2->3,32,w1,0.053659140124286867
meraFM_L64_h128_ep50,0.5,B_adjacent,3->4,16,mmd2,0.0018391609191894531
meraFM_L64_h128_ep50,0.5,B_adjacent,3->4,16,w1,0.06843923179027418
meraFM_L64_h128_ep50,0.5,B_adjacent,4->5,8,mmd2,0.007348775863647461
meraFM_L64_h128_ep50,0.5,B_adjacent,4->5,8,w1,0.14910260629462455
meraFM_L64_h128_ep50,0.5,B_adjacent,5->6,4,mmd2,-0.0004049539566040039
meraFM_L64_h128_ep50,0.5,B_adjacent,5->6,4,w1,0.03889936902356569
meraFM_L64_h128_ep50,0.7,A_marginal,1,64,skew,-0.03683628109812434
meraFM_L64_h128_ep50,0.7,A_marginal,1,64,kurt,-1.531848251720348
meraFM_L64_h128_ep50,0.7,A_marginal,1,64,ks,0.1383921166916544
meraFM_L64_h128_ep50,0.7,A_marginal,2,32,skew,-0.08307931048825128
meraFM_L64_h128_ep50,0.7,A_marginal,2,32,kurt,-1.3617315704258195
meraFM_L64_h128_ep50,0.7,A_marginal,2,32,ks,0.11413318491896485
meraFM_L64_h128_ep50,0.7,A_marginal,3,16,skew,-0.019465360581727594
meraFM_L64_h128_ep50,0.7,A_marginal,3,16,kurt,-1.1616406089087226
meraFM_L64_h128_ep50,0.7,A_marginal,3,16,ks,0.08478067959585966
meraFM_L64_h128_ep50,0.7,A_marginal,4,8,skew,0.01143111623971483
meraFM_L64_h128_ep50,0.7,A_marginal,4,8,kurt,-1.100636556124145
meraFM_L64_h128_ep50,0.7,A_marginal,4,8,ks,0.07816769151596115
meraFM_L64_h128_ep50,0.7,A_marginal,5,4,skew,-0.004858835964283595
meraFM_L64_h128_ep50,0.7,A_marginal,5,4,kurt,-0.22458514135695218
meraFM_L64_h128_ep50,0.7,A_marginal,5,4,ks,0.015162922929347095
meraFM_L64_h128_ep50,0.7,A_marginal,6,2,skew,-0.00040957700572526103
meraFM_L64_h128_ep50,0.7,A_marginal,6,2,kurt,-0.07874860864117617
meraFM_L64_h128_ep50,0.7,A_marginal,6,2,ks,0.014197576670992862
meraFM_L64_h128_ep50,0.7,B_adjacent,1->2,64,mmd2,0.0013885498046875
meraFM_L64_h128_ep50,0.7,B_adjacent,1->2,64,w1,0.06003017853677524
meraFM_L64_h128_ep50,0.7,B_adjacent,2->3,32,mmd2,0.0015573501586914062
meraFM_L64_h128_ep50,0.7,B_adjacent,2->3,32,w1,0.058044382461555306
meraFM_L64_h128_ep50,0.7,B_adjacent,3->4,16,mmd2,0.0006636381149291992
meraFM_L64_h128_ep50,0.7,B_adjacent,3->4,16,w1,0.050374635635297045
meraFM_L64_h128_ep50,0.7,B_adjacent,4->5,8,mmd2,0.00661468505859375
meraFM_L64_h128_ep50,0.7,B_adjacent,4->5,8,w1,0.14784270142963954
meraFM_L64_h128_ep50,0.7,B_adjacent,5->6,4,mmd2,-0.0004652738571166992
meraFM_L64_h128_ep50,0.7,B_adjacent,5->6,4,w1,0.035886348127760336
meraFM_L64_h128_ep50,0.9,A_marginal,1,64,skew,-0.016413732269142216
meraFM_L64_h128_ep50,0.9,A_marginal,1,64,kurt,-1.4518582454319218
meraFM_L64_h128_ep50,0.9,A_marginal,1,64,ks,0.12008759580128259
meraFM_L64_h128_ep50,0.9,A_marginal,2,32,skew,-0.13115250002668208
