label,folder,L,T,epoch,block,mean_logjac,std_logjac,mean_abs_logjac
L32_champion,data/32Ising_T2.269_hsBignet_hcg_perscale_fixdil_vp1e-3_b64,32,2.269185314213022,9500,0,298.5817565917969,62.79179763793945,298.5817565917969
L32_champion,data/32Ising_T2.269_hsBignet_hcg_perscale_fixdil_vp1e-3_b64,32,2.269185314213022,9500,1,-114.83175659179688,19.52454376220703,114.83175659179688
L32_champion,data/32Ising_T2.269_hsBignet_hcg_perscale_fixdil_vp1e-3_b64,32,2.269185314213022,9500,2,26.27200698852539,11.786728858947754,26.27200698852539
L32_champion,data/32Ising_T2.269_hsBignet_hcg_perscale_fixdil_vp1e-3_b64,32,2.269185314213022,9500,3,-5.309342384338379,15.751508712768555,15.420110702514648
L32_champion,data/32Ising_T2.269_hsBignet_hcg_perscale_fixdil_vp1e-3_b64,32,2.269185314213022,9500,4,-0.7722592949867249,0.5626810789108276,0.7732362151145935
L32_champion,data/32Ising_T2.269_hsBignet_hcg_perscale_fixdil_vp1e-3_b64,32,2.269185314213022,9500,5,-10.356417655944824,0.35619214177131653,10.356417655944824
L32_champion,data/32Ising_T2.269_hsBignet_hcg_perscale_fixdil_vp1e-3_b64,32,2.269185314213022,9500,6,-0.7217902541160583,0.22543400526046753,0.7217902541160583
L32_champion,data/32Ising_T2.269_hsBignet_hcg_perscale_fixdil_vp1e-3_b64,32,2.269185314213022,9500,7,-3.796837091445923,0.7206502556800842,3.796837091445923
L32_champion,data/32Ising_T2.269_hsBignet_hcg_perscale_fixdil_vp1e-3_b64,32,2.269185314213022,9500,8,-0.10239890217781067,2.2351741790771484e-08,0.10239890217781067
L32_champion,data/32Ising_T2.269_hsBignet_hcg_perscale_fixdil_vp1e-3_b64,32,2.269185314213022,9500,9,-0.7744519114494324,5.960464477539063e-08,0.7744519114494324
L32_baseline,data/32Ising_T2.269_hsBignet_baseline_b64,32,2.269185314213022,19800,0,962.1927490234375,17.09845733642578,962.1927490234375
L32_baseline,data/32Ising_T2.269_hsBignet_baseline_b64,32,2.269185314213022,19800,1,229.04275512695312,36.70305252075195,229.04275512695312
L32_baseline,data/32Ising_T2.269_hsBignet_baseline_b64,32,2.269185314213022,19800,2,2.2145609855651855,60.57912063598633,58.468345642089844
L32_baseline,data/32Ising_T2.269_hsBignet_baseline_b64,32,2.269185314213022,19800,3,-50.70396041870117,10.713915824890137,50.70396041870117
L32_baseline,data/32Ising_T2.269_hsBignet_baseline_b64,32,2.269185314213022,19800,4,-2.8302876949310303,3.2665350437164307,3.5448477268218994
L32_baseline,data/32Ising_T2.269_hsBignet_baseline_b64,32,2.269185314213022,19800,5,-43.6736946105957,13.34579849243164,43.6736946105957
L32_baseline,data/32Ising_T2.269_hsBignet_baseline_b64,32,2.269185314213022,19800,6,-0.7168369889259338,1.1920928955078125e-07,0.7168369889259338
L32_baseline,data/32Ising_T2.269_hsBignet_baseline_b64,32,2.269185314213022,19800,7,-10.665961265563965,1.977993369102478,10.665961265563965
L32_baseline,data/32Ising_T2.269_hsBignet_baseline_b64,32,2.269185314213022,19800,8,-0.31898120045661926,2.9802322387695312e-08,0.31898120045661926
L32_baseline,data/32Ising_T2.269_hsBignet_baseline_b64,32,2.269185314213022,19800,9,-1.4025052785873413,2.384185791015625e-07,1.4025052785873413
