label,folder,L,T,epoch,variant,scale_pair_or_block,value
T_c pathgrad_bignet_long_ext (STL),data/32Ising_T2.269_pathgrad_bignet_long_ext,32,2.269,4950,gauge_v1_perpos,f_4->f_5,6.128863606136292e-05
"T = 2.40  (high T, disorder)",data/32Ising_T2.4_hs_dataDriven,32,2.4,17000,gauge_v1_global,f_1->f_2,2.5236692428588867
"T = 2.40  (high T, disorder)",data/32Ising_T2.4_hs_dataDriven,32,2.4,17000,gauge_v1_perpos,f_1->f_2,2.489079713821411
"T = 2.40  (high T, disorder)",data/32Ising_T2.4_hs_dataDriven,32,2.4,17000,gauge_v1_global,f_2->f_3,1.9704532623291016
"T = 2.40  (high T, disorder)",data/32Ising_T2.4_hs_dataDriven,32,2.4,17000,gauge_v1_perpos,f_2->f_3,1.9652199745178223
"T = 2.40  (high T, disorder)",data/32Ising_T2.4_hs_dataDriven,32,2.4,17000,gauge_v1_global,f_3->f_4,0.36597612500190735
"T = 2.40  (high T, disorder)",data/32Ising_T2.4_hs_dataDriven,32,2.4,17000,gauge_v1_perpos,f_3->f_4,0.33544307947158813
"T = 2.40  (high T, disorder)",data/32Ising_T2.4_hs_dataDriven,32,2.4,17000,gauge_v1_global,f_4->f_5,0.17756611108779907
"T = 2.40  (high T, disorder)",data/32Ising_T2.4_hs_dataDriven,32,2.4,17000,gauge_v1_perpos,f_4->f_5,0.15397676825523376
L=32 baseline_b64,data/32Ising_T2.269_hsBignet_baseline_b64,32,2.269185314213022,19800,gauge_v1_global,f_1->f_2,2.214707136154175
L=32 baseline_b64,data/32Ising_T2.269_hsBignet_baseline_b64,32,2.269185314213022,19800,gauge_v1_perpos,f_1->f_2,2.3358702659606934
L=32 baseline_b64,data/32Ising_T2.269_hsBignet_baseline_b64,32,2.269185314213022,19800,gauge_v1_global,f_2->f_3,1.7266837358474731
L=32 baseline_b64,data/32Ising_T2.269_hsBignet_baseline_b64,32,2.269185314213022,19800,gauge_v1_perpos,f_2->f_3,1.7939337491989136
L=32 baseline_b64,data/32Ising_T2.269_hsBignet_baseline_b64,32,2.269185314213022,19800,gauge_v1_global,f_3->f_4,1.3416690826416016
L=32 baseline_b64,data/32Ising_T2.269_hsBignet_baseline_b64,32,2.269185314213022,19800,gauge_v1_perpos,f_3->f_4,1.3442325592041016
L=32 baseline_b64,data/32Ising_T2.269_hsBignet_baseline_b64,32,2.269185314213022,19800,gauge_v1_global,f_4->f_5,1.2595396041870117
L=32 baseline_b64,data/32Ising_T2.269_hsBignet_baseline_b64,32,2.269185314213022,19800,gauge_v1_perpos,f_4->f_5,1.2400621175765991
L=32 iii1_lam1.0_b64 (+III.1),data/32Ising_T2.269_hsBignet_iii1_lam1.0_b64,32,2.269185314213022,19800,gauge_v1_global,f_1->f_2,2.570228099822998
L=32 iii1_lam1.0_b64 (+III.1),data/32Ising_T2.269_hsBignet_iii1_lam1.0_b64,32,2.269185314213022,19800,gauge_v1_perpos,f_1->f_2,2.6264567375183105
L=32 iii1_lam1.0_b64 (+III.1),data/32Ising_T2.269_hsBignet_iii1_lam1.0_b64,32,2.269185314213022,19800,gauge_v1_global,f_2->f_3,0.18528766930103302
L=32 iii1_lam1.0_b64 (+III.1),data/32Ising_T2.269_hsBignet_iii1_lam1.0_b64,32,2.269185314213022,19800,gauge_v1_perpos,f_2->f_3,0.18356572091579437
L=32 iii1_lam1.0_b64 (+III.1),data/32Ising_T2.269_hsBignet_iii1_lam1.0_b64,32,2.269185314213022,19800,gauge_v1_global,f_3->f_4,0.3726181387901306
L=32 iii1_lam1.0_b64 (+III.1),data/32Ising_T2.269_hsBignet_iii1_lam1.0_b64,32,2.269185314213022,19800,gauge_v1_perpos,f_3->f_4,0.33879518508911133
L=32 iii1_lam1.0_b64 (+III.1),data/32Ising_T2.269_hsBignet_iii1_lam1.0_b64,32,2.269185314213022,19800,gauge_v1_global,f_4->f_5,0.10699520260095596
L=32 iii1_lam1.0_b64 (+III.1),data/32Ising_T2.269_hsBignet_iii1_lam1.0_b64,32,2.269185314213022,19800,gauge_v1_perpos,f_4->f_5,0.06013723090291023
L=32 i2_stride8h32_b64 (+I.2 cond),data/32Ising_T2.269_hsBignet_i2_stride8h32_b64,32,2.269185314213022,19800,gauge_v1_global,f_1->f_2,0.5803669691085815
L=32 i2_stride8h32_b64 (+I.2 cond),data/32Ising_T2.269_hsBignet_i2_stride8h32_b64,32,2.269185314213022,19800,gauge_v1_perpos,f_1->f_2,0.5233351588249207
L=32 i2_stride8h32_b64 (+I.2 cond),data/32Ising_T2.269_hsBignet_i2_stride8h32_b64,32,2.269185314213022,19800,gauge_v1_global,f_2->f_3,0.6445489525794983
L=32 i2_stride8h32_b64 (+I.2 cond),data/32Ising_T2.269_hsBignet_i2_stride8h32_b64,32,2.269185314213022,19800,gauge_v1_perpos,f_2->f_3,0.6608623266220093
L=32 i2_stride8h32_b64 (+I.2 cond),data/32Ising_T2.269_hsBignet_i2_stride8h32_b64,32,2.269185314213022,19800,gauge_v1_global,f_3->f_4,1.5886679887771606
L=32 i2_stride8h32_b64 (+I.2 cond),data/32Ising_T2.269_hsBignet_i2_stride8h32_b64,32,2.269185314213022,19800,gauge_v1_perpos,f_3->f_4,1.5754964351654053
L=32 i2_stride8h32_b64 (+I.2 cond),data/32Ising_T2.269_hsBignet_i2_stride8h32_b64,32,2.269185314213022,19800,gauge_v1_global,f_4->f_5,1.9462352991104126
L=32 i2_stride8h32_b64 (+I.2 cond),data/32Ising_T2.269_hsBignet_i2_stride8h32_b64,32,2.269185314213022,19800,gauge_v1_perpos,f_4->f_5,1.9262044429779053
L=32 combined_lam1.0_b64 (I.2+III.1),data/32Ising_T2.269_hsBignet_combined_lam1.0_stride8h32_b64,32,2.269185314213022,19800,gauge_v1_global,f_1->f_2,0.3466514050960541
