label,folder,L,T,epoch,block,mean_logjac,std_logjac,mean_abs_logjac
baseline_no_VP,data/32Ising_T2.269_hsBignet_baseline_b64,32,2.269185314213022,19800,0,962.1927490234375,17.09845733642578,962.1927490234375
baseline_no_VP,data/32Ising_T2.269_hsBignet_baseline_b64,32,2.269185314213022,19800,1,229.04275512695312,36.70305252075195,229.04275512695312
baseline_no_VP,data/32Ising_T2.269_hsBignet_baseline_b64,32,2.269185314213022,19800,2,2.2145609855651855,60.57912063598633,58.468345642089844
baseline_no_VP,data/32Ising_T2.269_hsBignet_baseline_b64,32,2.269185314213022,19800,3,-50.70396041870117,10.713915824890137,50.70396041870117
baseline_no_VP,data/32Ising_T2.269_hsBignet_baseline_b64,32,2.269185314213022,19800,4,-2.8302876949310303,3.2665350437164307,3.5448477268218994
baseline_no_VP,data/32Ising_T2.269_hsBignet_baseline_b64,32,2.269185314213022,19800,5,-43.6736946105957,13.34579849243164,43.6736946105957
baseline_no_VP,data/32Ising_T2.269_hsBignet_baseline_b64,32,2.269185314213022,19800,6,-0.7168369889259338,1.1920928955078125e-07,0.7168369889259338
baseline_no_VP,data/32Ising_T2.269_hsBignet_baseline_b64,32,2.269185314213022,19800,7,-10.665961265563965,1.977993369102478,10.665961265563965
baseline_no_VP,data/32Ising_T2.269_hsBignet_baseline_b64,32,2.269185314213022,19800,8,-0.31898120045661926,2.9802322387695312e-08,0.31898120045661926
baseline_no_VP,data/32Ising_T2.269_hsBignet_baseline_b64,32,2.269185314213022,19800,9,-1.4025052785873413,2.384185791015625e-07,1.4025052785873413
VP_1e-5,data/32Ising_T2.269_hsBignet_hcg_perscale_fixdil_vp1e-5_b64,32,2.269185314213022,9500,0,457.378173828125,41.19490051269531,457.378173828125
VP_1e-5,data/32Ising_T2.269_hsBignet_hcg_perscale_fixdil_vp1e-5_b64,32,2.269185314213022,9500,1,-232.46946716308594,8.456621170043945,232.46946716308594
VP_1e-5,data/32Ising_T2.269_hsBignet_hcg_perscale_fixdil_vp1e-5_b64,32,2.269185314213022,9500,2,4.529383659362793,8.571023941040039,7.901419639587402
VP_1e-5,data/32Ising_T2.269_hsBignet_hcg_perscale_fixdil_vp1e-5_b64,32,2.269185314213022,9500,3,-6.16263484954834,27.780588150024414,27.004188537597656
VP_1e-5,data/32Ising_T2.269_hsBignet_hcg_perscale_fixdil_vp1e-5_b64,32,2.269185314213022,9500,4,-2.265183210372925,1.8264707326889038,2.2992942333221436
VP_1e-5,data/32Ising_T2.269_hsBignet_hcg_perscale_fixdil_vp1e-5_b64,32,2.269185314213022,9500,5,-12.493199348449707,1.33769690990448,12.493199348449707
VP_1e-5,data/32Ising_T2.269_hsBignet_hcg_perscale_fixdil_vp1e-5_b64,32,2.269185314213022,9500,6,-0.8994495868682861,0.3117348253726959,0.8994495868682861
VP_1e-5,data/32Ising_T2.269_hsBignet_hcg_perscale_fixdil_vp1e-5_b64,32,2.269185314213022,9500,7,-3.48822021484375,0.00032832202850840986,3.48822021484375
VP_1e-5,data/32Ising_T2.269_hsBignet_hcg_perscale_fixdil_vp1e-5_b64,32,2.269185314213022,9500,8,-0.15631796419620514,1.4901161193847656e-08,0.15631796419620514
VP_1e-5,data/32Ising_T2.269_hsBignet_hcg_perscale_fixdil_vp1e-5_b64,32,2.269185314213022,9500,9,-0.9334773421287537,5.960464477539063e-08,0.9334773421287537
VP_1e-4,data/32Ising_T2.269_hsBignet_hcg_perscale_fixdil_vp1e-4_b64,32,2.269185314213022,9500,0,472.7671203613281,43.019264221191406,472.7671203613281
VP_1e-4,data/32Ising_T2.269_hsBignet_hcg_perscale_fixdil_vp1e-4_b64,32,2.269185314213022,9500,1,-278.3673095703125,6.5228142738342285,278.3673095703125
VP_1e-4,data/32Ising_T2.269_hsBignet_hcg_perscale_fixdil_vp1e-4_b64,32,2.269185314213022,9500,2,-5.70693302154541,5.692477703094482,6.525716781616211
VP_1e-4,data/32Ising_T2.269_hsBignet_hcg_perscale_fixdil_vp1e-4_b64,32,2.269185314213022,9500,3,-20.78017234802246,33.16288375854492,33.41795349121094
VP_1e-4,data/32Ising_T2.269_hsBignet_hcg_perscale_fixdil_vp1e-4_b64,32,2.269185314213022,9500,4,-1.4307448863983154,0.9704887270927429,1.436586618423462
VP_1e-4,data/32Ising_T2.269_hsBignet_hcg_perscale_fixdil_vp1e-4_b64,32,2.269185314213022,9500,5,-10.20344352722168,2.2265379428863525,10.20344352722168
VP_1e-4,data/32Ising_T2.269_hsBignet_hcg_perscale_fixdil_vp1e-4_b64,32,2.269185314213022,9500,6,-0.4606275260448456,2.9802322387695312e-08,0.4606275260448456
VP_1e-4,data/32Ising_T2.269_hsBignet_hcg_perscale_fixdil_vp1e-4_b64,32,2.269185314213022,9500,7,-2.5302631855010986,0.0033688126131892204,2.5302631855010986
VP_1e-4,data/32Ising_T2.269_hsBignet_hcg_perscale_fixdil_vp1e-4_b64,32,2.269185314213022,9500,8,-0.10976123064756393,7.450580596923828e-09,0.10976123064756393
VP_1e-4,data/32Ising_T2.269_hsBignet_hcg_perscale_fixdil_vp1e-4_b64,32,2.269185314213022,9500,9,-0.7351227402687073,5.960464477539063e-08,0.7351227402687073
VP_1e-3_champion,data/32Ising_T2.269_hsBignet_hcg_perscale_fixdil_vp1e-3_b64,32,2.269185314213022,9500,0,298.5817565917969,62.79179763793945,298.5817565917969
VP_1e-3_champion,data/32Ising_T2.269_hsBignet_hcg_perscale_fixdil_vp1e-3_b64,32,2.269185314213022,9500,1,-114.83175659179688,19.52454376220703,114.83175659179688
VP_1e-3_champion,data/32Ising_T2.269_hsBignet_hcg_perscale_fixdil_vp1e-3_b64,32,2.269185314213022,9500,2,26.27200698852539,11.786728858947754,26.27200698852539
VP_1e-3_champion,data/32Ising_T2.269_hsBignet_hcg_perscale_fixdil_vp1e-3_b64,32,2.269185314213022,9500,3,-5.309342384338379,15.751508712768555,15.420110702514648
VP_1e-3_champion,data/32Ising_T2.269_hsBignet_hcg_perscale_fixdil_vp1e-3_b64,32,2.269185314213022,9500,4,-0.7722592949867249,0.5626810789108276,0.7732362151145935
VP_1e-3_champion,data/32Ising_T2.269_hsBignet_hcg_perscale_fixdil_vp1e-3_b64,32,2.269185314213022,9500,5,-10.356417655944824,0.35619214177131653,10.356417655944824
VP_1e-3_champion,data/32Ising_T2.269_hsBignet_hcg_perscale_fixdil_vp1e-3_b64,32,2.269185314213022,9500,6,-0.7217902541160583,0.22543400526046753,0.7217902541160583
VP_1e-3_champion,data/32Ising_T2.269_hsBignet_hcg_perscale_fixdil_vp1e-3_b64,32,2.269185314213022,9500,7,-3.796837091445923,0.7206502556800842,3.796837091445923
VP_1e-3_champion,data/32Ising_T2.269_hsBignet_hcg_perscale_fixdil_vp1e-3_b64,32,2.269185314213022,9500,8,-0.10239890217781067,2.2351741790771484e-08,0.10239890217781067
VP_1e-3_champion,data/32Ising_T2.269_hsBignet_hcg_perscale_fixdil_vp1e-3_b64,32,2.269185314213022,9500,9,-0.7744519114494324,5.960464477539063e-08,0.7744519114494324
VP_1e-2,data/32Ising_T2.269_hsBignet_hcg_perscale_fixdil_vp1e-2_b64,32,2.269185314213022,9500,0,286.1213684082031,8.047859191894531,286.1213684082031
VP_1e-2,data/32Ising_T2.269_hsBignet_hcg_perscale_fixdil_vp1e-2_b64,32,2.269185314213022,9500,1,-181.46633911132812,29.08636474609375,181.46633911132812
VP_1e-2,data/32Ising_T2.269_hsBignet_hcg_perscale_fixdil_vp1e-2_b64,32,2.269185314213022,9500,2,8.890702247619629,1.6176698207855225,8.890702247619629
VP_1e-2,data/32Ising_T2.269_hsBignet_hcg_perscale_fixdil_vp1e-2_b64,32,2.269185314213022,9500,3,-23.00389862060547,6.761939525604248,23.00389862060547
VP_1e-2,data/32Ising_T2.269_hsBignet_hcg_perscale_fixdil_vp1e-2_b64,32,2.269185314213022,9500,4,0.5048828125,4.663747310638428,4.51906156539917
VP_1e-2,data/32Ising_T2.269_hsBignet_hcg_perscale_fixdil_vp1e-2_b64,32,2.269185314213022,9500,5,-18.939363479614258,0.4548813998699188,18.939363479614258
VP_1e-2,data/32Ising_T2.269_hsBignet_hcg_perscale_fixdil_vp1e-2_b64,32,2.269185314213022,9500,6,-2.2666537761688232,0.3657836318016052,2.2666537761688232
VP_1e-2,data/32Ising_T2.269_hsBignet_hcg_perscale_fixdil_vp1e-2_b64,32,2.269185314213022,9500,7,-3.7905097007751465,0.11386320739984512,3.7905097007751465
VP_1e-2,data/32Ising_T2.269_hsBignet_hcg_perscale_fixdil_vp1e-2_b64,32,2.269185314213022,9500,8,-0.13104034960269928,0.0,0.13104034960269928
VP_1e-2,data/32Ising_T2.269_hsBignet_hcg_perscale_fixdil_vp1e-2_b64,32,2.269185314213022,9500,9,-0.7988606095314026,0.0,0.7988606095314026
