label,folder,L,T,epoch,cond_prior,cnn_mu_rms_over_z_rms,cnn_mu_rms,z_fast_rms,mean_sigma,std_sigma,mean_abs_log_sigma,ks_raw,ks_whit,ks_improvement,w1_raw,w1_whit,w1_improvement,kl_gauss_raw,kl_gauss_whit,kl_improvement,ks_slow,w1_slow
L=32 baseline_b64,data/32Ising_T2.269_hsBignet_baseline_b64,32,2.269185314213022,19800,False,nan,nan,nan,nan,nan,nan,0.021317530987016053,nan,nan,0.04706668708892153,nan,nan,15.122576946909735,nan,nan,nan,nan
L=32 i2_stride8h32_b64 (+I.2 cond),data/32Ising_T2.269_hsBignet_i2_stride8h32_b64,32,2.269185314213022,19800,True,0.0042648447999323776,0.030703213065862656,7.199139595031738,1.2569799423217773,0.00743394810706377,0.22869469225406647,0.01614363680172254,0.016072308312586214,7.132848913632417e-05,0.035655986871053626,0.0355406071107066,0.00011537976034702718,23.44494191071204,14.173167537439472,9.271774373272567,0.01793317967882946,0.04201080686171601
L=32 i2_stride8h32_nr2_b64 (P2.x D32),data/32Ising_T2.269_hsBignet_i2_stride8h32_nr2_b64,32,2.269185314213022,15400,True,0.005041163478203007,0.05805797502398491,11.516780853271484,1.8530912399291992,0.03960513323545456,0.6166386008262634,0.03239733223397362,0.03228232628144262,0.00011500595253099988,0.07871100335260811,0.07808515867629967,0.0006258446763084402,63.38365901463211,17.053923397147884,46.329735617484225,0.04285108443728364,0.07137516838078324
L=64 baseline_b16,data/64Ising_T2.269_hsBignet_baseline_b16,64,2.269185314213022,19800,False,nan,nan,nan,nan,nan,nan,0.008430730538007969,nan,nan,0.021828014732633964,nan,nan,13.798141724610616,nan,nan,nan,nan
L=64 i2_stride16h32_b16 (+I.2),data/64Ising_T2.269_hsBignet_i2_stride16h32_b16,64,2.269185314213022,19800,True,0.002535366764064178,0.018173232674598694,7.167891025543213,1.2753037214279175,0.0023511704057455063,0.24318258464336395,0.005238436480606512,0.005270200579198914,-3.17640985924017e-05,0.014833293191812499,0.014836632563919807,-3.3393721073082805e-06,23.220335949242745,13.56957539798229,9.650760551260456,0.041879429248888544,0.0808351600147384
L=64 baseline_nr2_b16 (P2.x C64),data/64Ising_T2.269_hsBignet_baseline_nr2_b16,64,2.269185314213022,19800,False,nan,nan,nan,nan,nan,nan,0.018961983225402546,nan,nan,0.03779923428787587,nan,nan,10.268660243962348,nan,nan,nan,nan
L=64 i2_stride8h32_nr2_b16 (P2.x D64 ★),data/64Ising_T2.269_hsBignet_i2_stride8h32_nr2_b16,64,2.269185314213022,19800,True,0.000759077770118235,0.009477847255766392,12.486002922058105,2.0303869247436523,0.029993223026394844,0.7081230878829956,0.016009406928038705,0.016056470296423597,-4.7063368384892e-05,0.03790674066932419,0.03799536992600086,-8.862925667667276e-05,74.92555764015228,16.607203513769957,58.31835412638232,0.01308949930739084,0.028417314017607845
