label,folder,L,T,epoch,scale_s,L_s,source,metric,value
"T = 2.269 (T_c, hs_dataDriven)",data/32Ising_T2.269185314213022_hs_dataDriven,32,2.269185314213022,16000,5,1,cross_gauge,v5_gauge_ks,0.014
"T = 2.269 (T_c, hs_dataDriven)",data/32Ising_T2.269185314213022_hs_dataDriven,32,2.269185314213022,16000,5,1,cross_gauge,v5_gauge_w1,0.018240946343714294
"T = 2.269 (T_c, hs_dataDriven)",data/32Ising_T2.269185314213022_hs_dataDriven,32,2.269185314213022,16000,5,1,cross_gauge,v5_gauge_rms_g,nan
"T = 2.269 (T_c, hs_bignet)",data/32Ising_T2.269_hs_bignet,32,2.269185314213022,9500,0,32,cross_gauge,v5_gauge_ks,0.004729999999999901
"T = 2.269 (T_c, hs_bignet)",data/32Ising_T2.269_hs_bignet,32,2.269185314213022,9500,0,32,cross_gauge,v5_gauge_w1,0.013339982325982411
"T = 2.269 (T_c, hs_bignet)",data/32Ising_T2.269_hs_bignet,32,2.269185314213022,9500,0,32,cross_gauge,v5_gauge_rms_g,0.0
"T = 2.269 (T_c, hs_bignet)",data/32Ising_T2.269_hs_bignet,32,2.269185314213022,9500,1,16,cross_gauge,v5_gauge_ks,0.0018799999999999928
"T = 2.269 (T_c, hs_bignet)",data/32Ising_T2.269_hs_bignet,32,2.269185314213022,9500,1,16,cross_gauge,v5_gauge_w1,0.019370637275889835
"T = 2.269 (T_c, hs_bignet)",data/32Ising_T2.269_hs_bignet,32,2.269185314213022,9500,1,16,cross_gauge,v5_gauge_rms_g,0.059070587158203125
"T = 2.269 (T_c, hs_bignet)",data/32Ising_T2.269_hs_bignet,32,2.269185314213022,9500,2,8,cross_gauge,v5_gauge_ks,0.0016406250000000067
"T = 2.269 (T_c, hs_bignet)",data/32Ising_T2.269_hs_bignet,32,2.269185314213022,9500,2,8,cross_gauge,v5_gauge_w1,0.009960928390433053
"T = 2.269 (T_c, hs_bignet)",data/32Ising_T2.269_hs_bignet,32,2.269185314213022,9500,2,8,cross_gauge,v5_gauge_rms_g,0.02946103736758232
"T = 2.269 (T_c, hs_bignet)",data/32Ising_T2.269_hs_bignet,32,2.269185314213022,9500,3,4,cross_gauge,v5_gauge_ks,0.004093750000000007
"T = 2.269 (T_c, hs_bignet)",data/32Ising_T2.269_hs_bignet,32,2.269185314213022,9500,3,4,cross_gauge,v5_gauge_w1,0.009726493048161764
"T = 2.269 (T_c, hs_bignet)",data/32Ising_T2.269_hs_bignet,32,2.269185314213022,9500,3,4,cross_gauge,v5_gauge_rms_g,0.0365312434732914
"T = 2.269 (T_c, hs_bignet)",data/32Ising_T2.269_hs_bignet,32,2.269185314213022,9500,4,2,cross_gauge,v5_gauge_ks,0.004625
"T = 2.269 (T_c, hs_bignet)",data/32Ising_T2.269_hs_bignet,32,2.269185314213022,9500,4,2,cross_gauge,v5_gauge_w1,0.005399496432097294
"T = 2.269 (T_c, hs_bignet)",data/32Ising_T2.269_hs_bignet,32,2.269185314213022,9500,4,2,cross_gauge,v5_gauge_rms_g,nan
"T = 2.269 (T_c, hs_bignet)",data/32Ising_T2.269_hs_bignet,32,2.269185314213022,9500,5,1,cross_gauge,v5_gauge_ks,0.011
"T = 2.269 (T_c, hs_bignet)",data/32Ising_T2.269_hs_bignet,32,2.269185314213022,9500,5,1,cross_gauge,v5_gauge_w1,0.015173242475189882
"T = 2.269 (T_c, hs_bignet)",data/32Ising_T2.269_hs_bignet,32,2.269185314213022,9500,5,1,cross_gauge,v5_gauge_rms_g,nan
T_c sym_bignet (rev-KL),data/32Ising_T2.269_sym_bignet,32,2.269,5950,0,32,cross_gauge,v5_gauge_ks,0.004729999999999901
T_c sym_bignet (rev-KL),data/32Ising_T2.269_sym_bignet,32,2.269,5950,0,32,cross_gauge,v5_gauge_w1,0.013339982325982411
T_c sym_bignet (rev-KL),data/32Ising_T2.269_sym_bignet,32,2.269,5950,0,32,cross_gauge,v5_gauge_rms_g,0.0
T_c sym_bignet (rev-KL),data/32Ising_T2.269_sym_bignet,32,2.269,5950,1,16,cross_gauge,v5_gauge_ks,0.0023050000000000015
T_c sym_bignet (rev-KL),data/32Ising_T2.269_sym_bignet,32,2.269,5950,1,16,cross_gauge,v5_gauge_w1,0.009580356678748726
T_c sym_bignet (rev-KL),data/32Ising_T2.269_sym_bignet,32,2.269,5950,1,16,cross_gauge,v5_gauge_rms_g,0.5119196176528931
T_c sym_bignet (rev-KL),data/32Ising_T2.269_sym_bignet,32,2.269,5950,2,8,cross_gauge,v5_gauge_ks,0.0018124999999999947
T_c sym_bignet (rev-KL),data/32Ising_T2.269_sym_bignet,32,2.269,5950,2,8,cross_gauge,v5_gauge_w1,0.011461953988838132
T_c sym_bignet (rev-KL),data/32Ising_T2.269_sym_bignet,32,2.269,5950,2,8,cross_gauge,v5_gauge_rms_g,0.5387076139450073
T_c sym_bignet (rev-KL),data/32Ising_T2.269_sym_bignet,32,2.269,5950,3,4,cross_gauge,v5_gauge_ks,0.0018124999999999947
T_c sym_bignet (rev-KL),data/32Ising_T2.269_sym_bignet,32,2.269,5950,3,4,cross_gauge,v5_gauge_w1,0.009299924754535453
T_c sym_bignet (rev-KL),data/32Ising_T2.269_sym_bignet,32,2.269,5950,3,4,cross_gauge,v5_gauge_rms_g,0.4849080741405487
T_c sym_bignet (rev-KL),data/32Ising_T2.269_sym_bignet,32,2.269,5950,4,2,cross_gauge,v5_gauge_ks,0.006
T_c sym_bignet (rev-KL),data/32Ising_T2.269_sym_bignet,32,2.269,5950,4,2,cross_gauge,v5_gauge_w1,0.006647131865346628
T_c sym_bignet (rev-KL),data/32Ising_T2.269_sym_bignet,32,2.269,5950,4,2,cross_gauge,v5_gauge_rms_g,nan
T_c sym_bignet (rev-KL),data/32Ising_T2.269_sym_bignet,32,2.269,5950,5,1,cross_gauge,v5_gauge_ks,0.0095
T_c sym_bignet (rev-KL),data/32Ising_T2.269_sym_bignet,32,2.269,5950,5,1,cross_gauge,v5_gauge_w1,0.009902752721822219
T_c sym_bignet (rev-KL),data/32Ising_T2.269_sym_bignet,32,2.269,5950,5,1,cross_gauge,v5_gauge_rms_g,nan
T_c pathgrad_bignet_long_ext (STL),data/32Ising_T2.269_pathgrad_bignet_long_ext,32,2.269,4950,0,32,cross_gauge,v5_gauge_ks,0.004729999999999901
T_c pathgrad_bignet_long_ext (STL),data/32Ising_T2.269_pathgrad_bignet_long_ext,32,2.269,4950,0,32,cross_gauge,v5_gauge_w1,0.013339982325982411
T_c pathgrad_bignet_long_ext (STL),data/32Ising_T2.269_pathgrad_bignet_long_ext,32,2.269,4950,0,32,cross_gauge,v5_gauge_rms_g,0.0
T_c pathgrad_bignet_long_ext (STL),data/32Ising_T2.269_pathgrad_bignet_long_ext,32,2.269,4950,1,16,cross_gauge,v5_gauge_ks,0.002585000000000004
T_c pathgrad_bignet_long_ext (STL),data/32Ising_T2.269_pathgrad_bignet_long_ext,32,2.269,4950,1,16,cross_gauge,v5_gauge_w1,0.007524900934866579
T_c pathgrad_bignet_long_ext (STL),data/32Ising_T2.269_pathgrad_bignet_long_ext,32,2.269,4950,1,16,cross_gauge,v5_gauge_rms_g,0.5089258551597595
T_c pathgrad_bignet_long_ext (STL),data/32Ising_T2.269_pathgrad_bignet_long_ext,32,2.269,4950,2,8,cross_gauge,v5_gauge_ks,0.001554687499999985
T_c pathgrad_bignet_long_ext (STL),data/32Ising_T2.269_pathgrad_bignet_long_ext,32,2.269,4950,2,8,cross_gauge,v5_gauge_w1,0.012039100861794425
T_c pathgrad_bignet_long_ext (STL),data/32Ising_T2.269_pathgrad_bignet_long_ext,32,2.269,4950,2,8,cross_gauge,v5_gauge_rms_g,0.5215474963188171
T_c pathgrad_bignet_long_ext (STL),data/32Ising_T2.269_pathgrad_bignet_long_ext,32,2.269,4950,3,4,cross_gauge,v5_gauge_ks,0.003375000000000017
T_c pathgrad_bignet_long_ext (STL),data/32Ising_T2.269_pathgrad_bignet_long_ext,32,2.269,4950,3,4,cross_gauge,v5_gauge_w1,0.010881271219304236
T_c pathgrad_bignet_long_ext (STL),data/32Ising_T2.269_pathgrad_bignet_long_ext,32,2.269,4950,3,4,cross_gauge,v5_gauge_rms_g,0.464218407869339
T_c pathgrad_bignet_long_ext (STL),data/32Ising_T2.269_pathgrad_bignet_long_ext,32,2.269,4950,4,2,cross_gauge,v5_gauge_ks,0.005625
T_c pathgrad_bignet_long_ext (STL),data/32Ising_T2.269_pathgrad_bignet_long_ext,32,2.269,4950,4,2,cross_gauge,v5_gauge_w1,0.008503282338401733
T_c pathgrad_bignet_long_ext (STL),data/32Ising_T2.269_pathgrad_bignet_long_ext,32,2.269,4950,4,2,cross_gauge,v5_gauge_rms_g,nan
T_c pathgrad_bignet_long_ext (STL),data/32Ising_T2.269_pathgrad_bignet_long_ext,32,2.269,4950,5,1,cross_gauge,v5_gauge_ks,0.009
T_c pathgrad_bignet_long_ext (STL),data/32Ising_T2.269_pathgrad_bignet_long_ext,32,2.269,4950,5,1,cross_gauge,v5_gauge_w1,0.010210782096187357
T_c pathgrad_bignet_long_ext (STL),data/32Ising_T2.269_pathgrad_bignet_long_ext,32,2.269,4950,5,1,cross_gauge,v5_gauge_rms_g,nan
"T = 2.40  (high T, disorder)",data/32Ising_T2.4_hs_dataDriven,32,2.4,17000,0,32,cross_gauge,v5_gauge_ks,0.0012550000000000061
"T = 2.40  (high T, disorder)",data/32Ising_T2.4_hs_dataDriven,32,2.4,17000,0,32,cross_gauge,v5_gauge_w1,0.014345419999786363
"T = 2.40  (high T, disorder)",data/32Ising_T2.4_hs_dataDriven,32,2.4,17000,0,32,cross_gauge,v5_gauge_rms_g,0.0
"T = 2.40  (high T, disorder)",data/32Ising_T2.4_hs_dataDriven,32,2.4,17000,1,16,cross_gauge,v5_gauge_ks,0.002589999999999981
"T = 2.40  (high T, disorder)",data/32Ising_T2.4_hs_dataDriven,32,2.4,17000,1,16,cross_gauge,v5_gauge_w1,0.011021528826669416
"T = 2.40  (high T, disorder)",data/32Ising_T2.4_hs_dataDriven,32,2.4,17000,1,16,cross_gauge,v5_gauge_rms_g,0.078593909740448
"T = 2.40  (high T, disorder)",data/32Ising_T2.4_hs_dataDriven,32,2.4,17000,2,8,cross_gauge,v5_gauge_ks,0.0017812500000000675
"T = 2.40  (high T, disorder)",data/32Ising_T2.4_hs_dataDriven,32,2.4,17000,2,8,cross_gauge,v5_gauge_w1,0.007662486047572373
"T = 2.40  (high T, disorder)",data/32Ising_T2.4_hs_dataDriven,32,2.4,17000,2,8,cross_gauge,v5_gauge_rms_g,0.06771071255207062
"T = 2.40  (high T, disorder)",data/32Ising_T2.4_hs_dataDriven,32,2.4,17000,3,4,cross_gauge,v5_gauge_ks,0.002687500000000065
"T = 2.40  (high T, disorder)",data/32Ising_T2.4_hs_dataDriven,32,2.4,17000,3,4,cross_gauge,v5_gauge_w1,0.0067846635478773214
"T = 2.40  (high T, disorder)",data/32Ising_T2.4_hs_dataDriven,32,2.4,17000,3,4,cross_gauge,v5_gauge_rms_g,0.0740431621670723
"T = 2.40  (high T, disorder)",data/32Ising_T2.4_hs_dataDriven,32,2.4,17000,4,2,cross_gauge,v5_gauge_ks,0.005125
